,sadness Tweets
154,Khuzestan one of the provinces in catastrophic  situation  in Iran confirms rumors about 11000 test specimens getting lost 2 days in a row the number of daily deaths are back to 3 digits 113 deaths is the highest since April 12  IranTruth  COVID19  coronavirus pictwittercomWCUbWJvWwW
155, coronavirusinindia   Whatever action is taken by Philippines govt Same action is taken by Indian govt later Philippines govt extended  lockdown  until April 30  Will there be  lockdown   extension  in  India 
156,The social safety phychological economical effect of  Lockdown  is severe Sad results due to  lockdown  in news from every part of  INDIA  Decision to continue  UNLOCK  whereever possible is advisable
157, Powerfm987  ThabisoTema   Mmusi is making a narrow unsustainable argument Govt has said lockdown no longer serves purpose WHO  never said ZA not ready to move to stage 3 this is a dynamic  situation  kids are least affected by  COVID19  read StellenboschUni  report POWERDrive
158,We all need to be wrong and keep ourself busy that’s how we will make it through this I know it feels like we in box and there is no escape but this will be all over and soon we will all forgot about the  situation  COVID19  mortovatoonspeech  smallyoutuber  YouTube  coronavirus
159,WissensWissenschaftlerinnen brauchen Planungssicherheit Die besondere  Situation  von Wissenschaftlerinnen mit CareVerantwortung und ‚Risikopatientinnen‘ muss beachtet werden COVID19  fordert die NGAWiss   Link    Gut so finden wir und was denkt ihr 
160,Painfullythe  situation  in Syria  can still get worselast week the lira depreciated more than in 9years beforeover 80 of Syrians already lived below the poverty line Now WFP raises alarm for possible famineconflict COVID19 UN  Security Councilwhen will u finally deliver
161,Our  situation  is different compared to developed nations as we suffer from poverty Appx 25 million people in Pakistan are in informal economy If they wont be able to earn their families will starve Therefore our response to COVID19  Pandemic demanded a different approach  pictwittercomdfmGOVG3bw
162,In the global response to Covid19  people with disabilities  are forgotten about left behind Stakes are high this is a life or death  situation  Sign this petition to end disability  discrimination  httpwww sightsaversorgcovidcampaign    EqualWorld  SightsaversPol   https campaigningsightsaversorgcovidcampaign  
163,Big JokeIn present  situation  due to spreading of  covid19 pak govt failed on all fronts including empty begging bowl n foolish talking of safe  http PakNo    sensible country will ever play there
164,Why this confused notification of MHA now when we hv touched 25k cases All public was mentally ready for  extension  of  lockdown  U will loose all the benefits derived in last 1 month Notification shud hv waited till atleast 3rd May
165,And no DRTs Im on a dialupØ bandwidth Where MlecchaMujahideenBilderberg Lockdown  Extension Demonetize India GandhiModi has so far been unable to destroy my cellphone tower using MBS terrorists theyve instead forced Airtel to Δ its coverage area https twittercomFascinationCre astatus1216234754397224960   …
166, RFI  coronavirus  COVID19  Confinés en mer depuis l’apparition du coronavirus des membres d’équipage de différents paquebots commencent à perdre patience Le désespoir face à la  situation  pourrait être à l’origine de récents suicides  httpwww rfifrfreurope2020 0513coronavirusquandledésespoirguetteléquipagebateauxcroisière   …
167,Das scheint keine alltägliche  Situation  zu sein Zitat  Wir sprechen von Patienten die relativ jung sind  mit permanentem Lungenschaden die sich nicht vom Beatmungsgerät lösen können  Daraus resultiert nicht dass  COVID19  prinzipiell gefährlich ist  MTFranz
168,As the universities  and schools  increase virtuality in the reality they also need to reduce the fees if the  situation  continues like this for ever  COVID19  coronavirus  thursdaymorning  ThursdayThrill  veersavarkarjayanti  CyberSafety  FactCheck
169, FinMinIndia  nsitharaman  AnuragOffice  askGSTGoI  cbic india  GSTCouncil  Dunia chahe idhar se udhar ho jaye aaplogo ko taxes time pe hi chahyewhen entire country is almost in  lockdown  situations u r waiting for last day to give  extensio
170, dmgbnagar  look how GalgotiasUni  is pressurising students to pay academic year 2021 fees in this difficult  situation  The university dont even know how many of there students families suffering from economic crisis or even  covid19 Sir please take serious action against them  pictwittercom7eYvcp7wYj
171,Hi everyone Sorry for being inactive How are you guys doing Hows the  covid19   situation  in your country Pls talk to me I swear I dont bite
172, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercomq0WWrHttAO
173,This is the  situation  of the auto industryregistrations in Europe More insights  httpswww jatocomglobalvehicle salesfallby39inmarchwhileindustrylooksforthepathtorecovery   …  Europe  Covid19  JATO pictwittercoma7zAfJVMQQ
174,By 180000 confirmed  Covid  19  cases    india  getting  ready to  surpass  Germany and France very soon And at  the same tym  india  also getting ready to   unlock  its so called  lockdown then whats that brutal behavior of police  Suffering of migrants workers  5000 lost lives
175,Total faileur bjp govt this  situation   covid19  pandamaic no idia no plain Lock down  https twittercompbhushan1stat us1266184695559192577   …
176, sardesairajdeep  The 9pm show was top notch today Pointed queries to ministers to try and catch the minds of state govts on  lockdown   extension  Only regret was no govt representation from TN which has 2nd highest no of  covid  ve cases in  India 
177,First COVID19  update I’ve watched for quite a while fair to say old bozza was a repetitive but mainly stuttering wreck he’s definitely showing the stresses of this  situation  now inoverhishead
178, Dettol    After this  covid19  pandemic  situation  your team should think about sanitizer sachet production for one time use like shampoo pouch so that poor people can buy easily
