,analytical Tweets
156, DrBladeNzimande  lectures are making poor post Graduate students life very difficult requesting assignments to be submitted on the due dates that where set for the academic year 2020 regardless of the  COVID19   situation  Minority of us are struggling with relevant info
157,Lockdown   extension  in the entire State of all  india  til midnight of 31st May 2020 lockdown
158,Telangana Chief Ministers Office now clarifies that CM K Chandrasekhar Rao suggested  extension  of  lockdown  for 2 more weeks after April 15 He took a reference from BCG report which suggested  lockdown  in  India  will be good until June 3 No announcement of  extension  yet  https twittercomthemukulagrawa lstatus1247176112481812481   …
159,Its not only the economic  situation  tht is going to force them to change their minds but also the increasing nos of many ppl infected with  Covid19   Political affinity or political clout is not going to save lives  BUT bhakts will forget it all come next election  https twittercomRKRadhakrishn status1269813389989040128   …
160, InternationalNursesDay   Mumbai  Son Posts Heartwarming Ode to Nurse Mom Serving in COVID19  Quarantine Facility  If not us then who We signed up for this years ago so that during such a  situation  we will be ready to serve No matter what”   httpswww googlecomampswwwtheb etterindiacom221208mumbaicoronavirusheartwarmingfacebookpostnursemothercovid19quarantineherosay143amp   …
161,The info doesnt quite add up logically and would need corroboration from independent scientific research sources a lot of vested political interest is riding on new fangled COVID19  evidence these days and we will need to discern the true  situation  with good intent  wisdom
162,New RCAF  fighterin light of COVID19   situation  June 30 2020 deadline for eligible suppliers to submit their proposals has been extended to July 31 2020 at the request of industry” https ottawacitizencomnewsnational defencewatchfighterjetbiddeadlinepushedtojuly31canadiangovernmentconfirmswcm69c9111564ac42e19335aef008f0574a   …  NATO  NORAD  F35  SuperHornet  GripenE
163,India  boasts the largest postal system in the world and with its decision to deliver lifesaving medicines during Covid19  IndiaPost  extraordinary role during the countrywide  lockdown  is appreciated globally Lockdown2  covidindia https eurasiantimescomworldslargest postalserviceindiapostturnslifesaverduringcovid19pandemic   …
164, Covid19  Lockdown5  CoronaUpdates  India   1No restrictions on interstate and introstate movements of persons anf goods  2State to decide based on its assement   artikashuklaias  oiseaulibre3  astikkp  Mumbaikhabar9  AUThackeray pictwittercomn5JSU4QlXz
165,A pandemic is a volatile circumstance In the past weeks we have witnessed that the  situation  can evolve rapidly  change within days Therefore as the  COVID19  outbreak continues the most effective thing you can do to stay safe is to stay wellinformed  http owlyHMae50zyXpm  
166,Sehar Kamran “This Pandemic is an EyeOpener for the World” Impact of COVID19 on Humanity eawforum  The current  situation  has proven how underprepared the world was in its handling of this health crisis despite multiple warning and predictions COVID19   https twittercomseharkamranst atus1260884517038014464   …
167,Seeing a public hairi am immediately dumping this Shame on swiggyin   Please ban swiggyin  till  situation  of COVID19  remains Two days before i reported an issuethey gave me a parroted response Surat pictwittercomfhVjCnm5Yl
168,How many days  extension   lockdown  in  India   IIA2020SidharthShukla
169,I am giving them benefit of doubt due to  COVID19   situation  If they don’t come back I very well know how to handle
170,Ministry of Home AffairsMHA issues guidelines on measures to be taken by MinistriesDppts of Government of  India  State GovernmentsUT Governments  StateUT authorities for containment of  COVID19  LockDown4  will remain in effect till 31st May 2020  pictwittercomOONKp9Lc7Y
171,The COVID19  pandemic changed many childrens lives around the India We talked to our KanoongoPriyank  NCPCR  nairpm2014  in India to learn more about their  situation   StopExploitation  StandforChildren  ProtectChildren  StopCOVID19  Balkalyansangh   Pramod1279 pictwittercomfiveKN2oFp
172,At this time travel in June remains unchanged However Its a very fluid  situation  and were monitoring it every day Youll be notified in case your flight is impacted due to  covid19  for the mentioned date Nandini
173, ICICIBank  ICICIBankCare   I am not able to speak to customer service executive at all I understand the  covid19   situation  Still it is really careless from your side not to approach back to customer I have sent email and called customer care number multiple times Call back
174, MichelBarnier  Please dont cave in  give relaxation on border control otherwise it will destroy the EU and open flood gate for exiters stick to your gun they will ultimately agree to EU demands because of desparate  Covid19   situation   httpswww expresscouknewsuk129405 7brexitnewsmichelbarniereutradedealtalkscompromisenodealbrexit   …
175,You first think about the current  COVID19   situation  in your own country had a discussion  PAH Useless governance
176,It’s a strange birthday for him today as   Life and Soccer futures  on hold due to the COVID19   situation    https twittercomPhysiomacstat us1262071819953147904   …
177,I have to get started here in my home I would love to pick this up later Remember I’m not your enemy Rather I want the truth Please let me know what you think Trump could’ve done to avoid the  COvID19   situation  additionally to what he did do while the rabid mSM constantly lied
178,Further  Extension  of  lockdown  in  India  is a good decision Was much required
179,Rspct sir With ref to BS4 vehicle registration ban Govtof  India  providing all kinds of Stimulus Reliefs Packages Extensions  Accidents to EachEveryoneEverything for  covid   lockdown  extension  and everything for  India People Economy then Why no solution for BS4 REGISTRATION
180,These tragic acts of Terrorism  has further complicated the unemployment   situation  and returning to work  due to COVID19    We need to figure out some sort of extension for the federal assistance to unemployment  There are good ppl who need help 
181, PPP  Sindh government has reversed its decision to reopen the shrine of Lal Shahbaz Qalandar in Sehwan due to the current COVID19   situation   httpswww samaatvnewspakistan 202005sindhtakesbackdecisiontoreopensehwanshrine   …
182,“Many USbased independents have announced cuts of 4050pc which is quite a significant response to the current  situation ” says David Round BMO  COVID19  oilprice  oilandgas httpswww petroleumeconomistcomarticlescorpo ratefinance2020independentsvulnerabletodebttrap   …
183,Due to the current changing  situation  and reduced workforce it is likely there will be delays in processing some cases and therefore we are unable to provide any timescales  We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
184,US considering  India s  extension  of H1B visa request amid coronavirus  COVID  19  pandemic  pictwittercomXsGV9p5Pan
185,A wise reflection as always I’ve posted similar thoughts as we observe this awful  situation  from a patient’s perspective  Bedhouse bound patients are already benefiting from now available opportunities we’ve begged for pre  Covid19  A phenomenonhealthy people won’t ever realise
